Model Name,Rooms,Size,Avg. Price,
Cedar Ridge Cape Style,3 Bedrms 2 Baths,2428 sqft 44x40,$247367,
Lake View Cape Style,3 Bedrms 2.5 Baths,2145 sqft 54x26,$239621,
Timber Ridge Cape Style,3 Bedrms 3.5 Baths,2911 sqft 60x42,$220765,
Andrews Ranch Style,3 Bedrms 2 Baths,1547 sqft 56x28,$165014,
Imagine Ranch Style,2 Bedrms 2 Baths,1056 sqft 42x28,$124792,
Montgomery Ranch Style,3 Bedrms 2 Baths,1658 sqft 60x28,$168247,
Serenity Ranch Style,2 Bedrms 1 Baths,1056 sqft 42x28,$122980,
Charleston Two Story,5 Bedrms 3.5 Baths,2729 sqft 60x28,$226095,
Talmadge Two Story,3 Bedrms 2.5 Baths,2334 sqft 44x28,$202225,
