Journal of Apicultural Research,Vol. 48 (1) pp. 77 - 78
DOI,10.3896/IBRA.1.48.1.15
Date,January 2009
Article Title,In vitro antibacterial and antiparasitic effect of citrus fruit essential oils on the honey bee pathogen Paenibacillus larvae and the parasitic mite Varroa destructor
Author(s),Sandra Rosa Fuselli Mat├нas Maggi Susana Beatriz Garc├нa de la Rosa Judith Principal Mart├нn Javier Eguaras and Rosal├нa Fritz
Abstract,None
Keywords,Honey bee Apis mellifera pathogens Paenibacillus larvae American foulbrood (AFB) Varroa destructor Citrus paradisi Citrus sinensis
Full text pdf,
